iter	RMSE
0	0.6552950074
1	0.6456247432
2	0.6364817152
3	0.6277387411
4	0.6194255449
5	0.6115093424
6	0.6036671564
7	0.5961634535
8	0.5892300386
9	0.5826139874
10	0.5761492899
11	0.569895281
12	0.563999113
13	0.5582641393
14	0.5527451013
15	0.547564206
16	0.5425454347
17	0.537810182
18	0.5332799311
19	0.5289091414
20	0.5247498368
21	0.5208079741
22	0.5169593896
23	0.5133539389
24	0.5098971609
25	0.5064869588
26	0.503160876
27	0.5001451665
28	0.4972738345
29	0.4945941435
30	0.4920119436
31	0.4894492408
32	0.4869597824
33	0.4845957335
34	0.4823403375
35	0.4802267205
36	0.4781495917
37	0.4761953865
38	0.4742302168
39	0.4724646428
40	0.4707703061
41	0.4690240086
42	0.4674033284
43	0.4658579182
44	0.4644222337
45	0.4630415483
46	0.4617250495
47	0.4604103596
48	0.4591953155
49	0.4579925026
50	0.4569132434
51	0.4557964843
52	0.4546410351
53	0.4536602743
54	0.4526953252
55	0.4517203739
56	0.4508081914
57	0.4499623048
58	0.4491267271
59	0.4483783496
60	0.4476438828
61	0.4469004268
62	0.4460967194
63	0.4453250054
64	0.4447109987
65	0.4440673457
66	0.4434078534
67	0.4427671663
68	0.4421074562
69	0.4415092968
70	0.4409279145
71	0.4403295747
72	0.4397868716
73	0.4393181574
74	0.4388776979
75	0.4383934512
76	0.4378767135
77	0.4374530649
78	0.4370496468
79	0.4367072039
80	0.4363706561
81	0.4359815805
82	0.4356753878
83	0.4353553979
84	0.4350032819
85	0.4346436514
86	0.4343141384
87	0.4339443921
88	0.4335432824
89	0.4332332512
90	0.4329646358
91	0.4326950487
92	0.432386127
93	0.4321001474
94	0.4318736205
95	0.4316379603
96	0.4313913169
97	0.4311808112
98	0.4309868377
99	0.4307651967
100	0.4305326667
101	0.4303449167
102	0.4300966832
103	0.4298670072
104	0.4296787068
105	0.4294234862
106	0.4291995078
107	0.4290542235
108	0.4288213171
109	0.4285849648
110	0.4283703014
111	0.4281712778
112	0.4279616375
113	0.4277572261
114	0.4275423684
115	0.4273663451
116	0.4271930011
117	0.4270312187
118	0.4268613185
119	0.426686933
120	0.4265237181
121	0.4263908366
122	0.426205795
123	0.4260864769
124	0.4259261671
125	0.4257976695
126	0.4256574837
127	0.425487794
128	0.425294813
129	0.4251039708
130	0.4248858695
131	0.4247153611
132	0.4245470773
133	0.4244036927
134	0.4242537005
135	0.4240717648
136	0.423910994
137	0.4237515524
138	0.4236209145
139	0.4234847025
140	0.4233431458
141	0.4232255014
142	0.4230869494
143	0.4229684697
144	0.4228279108
145	0.4227110364
146	0.4225875605
147	0.4224402677
148	0.4222895367
149	0.4221609262
150	0.4220746494
151	0.4219792415
152	0.4218803368
153	0.4217941814
154	0.4216932254
155	0.4215743446
156	0.4214662699
157	0.4213744594
158	0.4212652732
159	0.4211695785
160	0.4210698386
161	0.4209838919
162	0.420915078
163	0.4208303657
164	0.4207450595
165	0.4206374686
166	0.4205301442
167	0.4204280239
168	0.4203245373
169	0.4202260335
170	0.4201391672
171	0.4200127255
172	0.419886476
173	0.4197822941
174	0.419645042
175	0.4195315767
176	0.4194620765
177	0.4193348715
178	0.4192425035
179	0.4190953278
180	0.4189845019
181	0.418903288
182	0.4187871927
183	0.4186768423
184	0.4185954586
185	0.4184753331
186	0.4183358513
187	0.4182169459
188	0.4180946732
189	0.4180068245
190	0.4179240592
191	0.4178200096
192	0.4176855743
193	0.4175892885
194	0.417494594
195	0.4173725215
196	0.417252368
197	0.4171863262
198	0.4171211918
199	0.4170189417
200	0.4169346034
201	0.4168090286
202	0.416746754
203	0.4166553612
204	0.4165672095
205	0.4164943241
206	0.4164109501
207	0.4163551018
208	0.416227011
